City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Saldanha,-33.0117,17.9442,48.25,64,21,7.09,ZA,2022-06-15 18:43:35
259,Tasiilaq,65.6145,-37.6368,39.36,97,100,10.49,GL,2022-06-15 18:43:32
260,Vallenar,-28.5708,-70.7581,64.45,41,100,7.65,CL,2022-06-15 18:47:56
261,Porteirinha,-15.7433,-43.0283,82.09,27,9,10.13,BR,2022-06-15 18:47:56
262,Oskarshamn,57.2645,16.4484,66.97,60,100,3.69,SE,2022-06-15 18:47:57
263,Samarai,-10.6167,150.6667,80.73,81,96,11.12,PG,2022-06-15 18:43:56
264,Guderup,54.9898,9.8717,62.31,63,0,6.91,DK,2022-06-15 18:47:57
265,Moree,-29.4667,149.85,49.51,85,0,3.13,AU,2022-06-15 18:47:57
266,Emerald,-23.5333,148.1667,60.3,76,69,5.91,AU,2022-06-15 18:47:57
267,Sorong,-0.8833,131.25,77.5,87,100,4.32,ID,2022-06-15 18:47:58
268,Fortuna,40.5982,-124.1573,61.92,79,100,5.75,US,2022-06-15 18:43:42
269,Namibe,-15.1961,12.1522,65.84,80,9,3.65,AO,2022-06-15 18:44:03
270,Angoche,-16.2325,39.9086,75.76,75,56,7.29,MZ,2022-06-15 18:47:58
271,Pontes E Lacerda,-15.2261,-59.3353,91.27,33,0,6.06,BR,2022-06-15 18:44:05
272,Kwinana,-32.25,115.7667,57.18,72,22,8.55,AU,2022-06-15 18:47:59
273,Avera,33.194,-82.5271,99.37,29,6,5.66,US,2022-06-15 18:47:59
274,Byron Bay,-28.65,153.6167,53.94,83,0,4.29,AU,2022-06-15 18:43:42
275,Rio Verde De Mato Grosso,-18.9181,-54.8442,87.24,31,0,5.03,BR,2022-06-15 18:48:59
276,Severo-Kurilsk,50.6789,156.125,46.99,83,72,7.54,RU,2022-06-15 18:44:03
277,Hofn,64.2539,-15.2082,51.82,82,20,12.66,IS,2022-06-15 18:43:37
278,Brandon,27.9378,-82.2859,97.59,65,40,6.91,US,2022-06-15 18:49:00
279,Riyadh,24.6877,46.7219,96.94,11,0,7.99,SA,2022-06-15 18:46:59
280,Ushtobe,45.2514,77.9838,69.48,55,100,7.25,KZ,2022-06-15 18:49:00
281,Faanui,-16.4833,-151.75,80.31,75,15,18.77,PF,2022-06-15 18:43:48
282,Nazarovo,56.0064,90.3914,57.69,93,7,3.87,RU,2022-06-15 18:49:00
283,Urdoma,61.7533,48.5442,60.82,96,100,5.7,RU,2022-06-15 18:49:01
284,Tskaltubo,42.3254,42.5979,65.34,94,100,2.3,GE,2022-06-15 18:49:01
285,Airai,-8.9266,125.4092,57.45,88,97,3.51,TL,2022-06-15 18:43:29
286,Coahuayana,18.7333,-103.6833,85.82,66,100,5.84,MX,2022-06-15 18:45:45
287,Yar-Sale,66.8333,70.8333,55.49,50,3,11.3,RU,2022-06-15 18:44:34
288,Rio Grande,-32.035,-52.0986,68.11,66,5,4.56,BR,2022-06-15 18:42:45
289,Phangnga,8.4509,98.5298,77.04,91,100,1.95,TH,2022-06-15 18:49:02
290,Burnie,-41.0667,145.9167,52.48,93,100,11.23,AU,2022-06-15 18:44:16
